specimenID,GUID_triplet,GUID_url,latitude,longitude,putative_sex,Family,Latin_name,County,year_collected,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Cd,Pb,skull_length,skull_height,skull_width,total_length,tail_length,hindfoot,county_decade_pop,closest_pop,closest_pop_size_atTime,pop_type,distance_to_pop,county_area_m
373,MMNH:Mamm:373,https://arctos.database.museum/guid/MMNH:Mamm:373,47.8222,-90.425,F,Soricidae,Blarina brevicauda,Cook,1922,2290.621147,457.5413061,148.8049236,3067.221567,5654.874623,937.7872307,0.445187481,1.42700827,13.22990275,341.7772332,0.221032413,2.096229327,111.642722,122.6603312,20289.01059,2.021088327,0.434496072,47.0488035,12.1,6.82,12.73,127,27,14,1841,Grand Marais,443,City,10478.00346,4160756414
389,MMNH:Mamm:389,https://arctos.database.museum/guid/MMNH:Mamm:389,47.5533,-90.8733,F,Soricidae,Blarina brevicauda,Cook,1922,1711.857762,335.7736791,172.3928534,2534.742515,3650.775475,828.9618164,0.568765615,1.722604877,11.80404553,218.271635,0.271279995,1.016099734,21.98754485,62.52997157,195713.2875,1.756364094,0.537179196,30.24201385,11.53,6.53,12.65,124,26,21,1841,Township of Tofte,106,Township,3615.347529,4160756414
393,MMNH:Mamm:393,https://arctos.database.museum/guid/MMNH:Mamm:393,47.5088,-91.0499,M,Soricidae,Blarina brevicauda,Cook,1922,3010.032472,446.8121528,154.9347034,3411.952523,5127.45294,780.4088668,0.332349196,4.28139195,7.194104321,250.1465958,0.166243076,2.141580365,47.25357243,105.9445257,58770.88305,1.950030429,0.307321722,27.63620194,12.1,6.69,11.95,113,26,16,1841,Township of Tofte,106,Township,17645.26567,4160756414
397,MMNH:Mamm:397,https://arctos.database.museum/guid/MMNH:Mamm:397,47.8686,-90.6347,M,Soricidae,Blarina brevicauda,Cook,1922,1684.322997,457.9694994,99.52826641,2213.688698,3537.943992,989.7921303,0.542562348,22.12884574,13.13849289,238.4043773,0.15846877,1.434141843,21.9677729,116.2667118,95668.45322,1.335500284,0.343251338,145.4120196,11.66,6.38,11.79,125,27,16,1841,Lutsen,125,Populated Pl,25786.90232,4160756414
652,MMNH:Mamm:652,https://arctos.database.museum/guid/MMNH:Mamm:652,NA,NA,F,Soricidae,Blarina brevicauda,Cook,1923,1127.896751,367.7069511,68.53665186,1920.655386,3632.863478,1117.689959,3.78689959,0.796212931,6.38488824,146.8910899,0.09963147,1.082643229,42.88914445,158.4003534,147545.048,27.54965414,53.07869212,320.3570744,11.13,6.6,12.16,110,21,14,1841,,NA,,NA,4160756414
7438,MMNH:Mamm:7438,https://arctos.database.museum/guid/MMNH:Mamm:7438,47.8798,-89.911,F,Soricidae,Blarina brevicauda,Cook,1965,19264.94527,461.7540724,9.735498176,2510.215986,5150.527074,957.4183869,<LOD,0.517889966,2.429215013,76.06316327,0.080818775,1.233720485,7.53152751,155.9543432,366.6788159,1.137005163,0.732505282,4.086560307,11.36,6.56,12.15,107,20,14,3423,Grand Portage Reservation,NA,Tribal,19330.0643,4160756414
11221,MMNH:Mamm:11221,https://arctos.database.museum/guid/MMNH:Mamm:11221,47.764,-90.569,M,Soricidae,Blarina brevicauda,Cook,1972,2017.938509,579.0391275,70.04359766,2454.394216,5348.05568,1527.20673,0.208090874,0.852620618,18.48666891,179.2090037,0.251439602,8.242658956,10.59691368,139.0666273,59.75335382,1.05115791,0.585370219,9.570131144,12.16,6.78,12.54,128,29,16,3423,Lutsen,NA,Populated Pl,16844.26189,4160756414
11234,MMNH:Mamm:11234,https://arctos.database.museum/guid/MMNH:Mamm:11234,48.0957,-90.8301,F,Soricidae,Blarina brevicauda,Cook,1972,2851.116695,616.1522814,69.72708625,5101.626701,8505.504336,855.5272312,0.234044207,2.231899075,16.42390402,352.1209783,0.559760943,5.209604106,13.27802224,95.41609932,79.12181536,1.475271756,0.310470996,20.16425027,11.97,6.8,12.5,115,26,16,3423,Lutsen,NA,Populated Pl,51502.95042,4160756414
2781,MMNH:Mamm:2781,https://arctos.database.museum/guid/MMNH:Mamm:2781,NA,NA,,Soricidae,Blarina brevicauda,Lake of the woods,1949,30160.60054,445.8915256,30.28576057,4179.67328,5591.63254,731.5672709,<LOD,0.602672903,5.360853661,135.3553625,0.077324738,1.177671279,17.22289301,92.92239858,601.9067006,1.257503724,0.464169385,8.170526811,12.02,7.13,12.78,115,25,15,4955,,NA,,NA,4608320923
2843,MMNH:Mamm:2843,https://arctos.database.museum/guid/MMNH:Mamm:2843,47.0228,-91.6706,M,Soricidae,Blarina brevicauda,Lake,1940,19025.05243,682.0383247,58.12780356,5284.726515,7016.792114,758.1842187,0.545447181,1.192124579,9.421173091,292.2794147,0.181374188,1.315001231,113.2749967,136.4252383,37227.37412,2.364292028,5.882996522,20.75519809,11.8,6.85,12.21,110,21,15,6956,Two Harbors,4046,City,3.88847681,5924950382
9142,MMNH:Mamm:9142,https://arctos.database.museum/guid/MMNH:Mamm:9142,47.2165,-94.629,M,Muridae,Peromyscus leucopus,Cass,1966,34860.12847,390.1078456,31.62781405,3506.961913,4835.355309,728.0496531,0.096682606,0.47065644,4.854597199,101.9852878,0.115777868,0.832235171,7.921398653,63.03232862,24.06684006,0.342850125,0.474621278,3.726876182,15.95,7.88,11.82,175,82,21,16720,Laporte,155,City,9463.011697,6249034272
